City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Yuli,NG,89.01,overcast clouds,9.6989,10.2744,
10,Keti Bandar,PK,78.19,scattered clouds,24.1447,67.4497,Haji laloo memon house
11,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
14,Buchanan,LR,79.5,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
16,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Labuhan,ID,75.49,overcast clouds,-6.8844,112.2051,DoubleFAG
22,Jacksonville,US,81.1,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
28,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
31,Cururupu,BR,81.16,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
32,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
36,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
38,Sao Gabriel Da Cachoeira,BR,82.11,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
39,Papara,BR,81.68,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
41,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
44,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
45,Eydhafushi,MV,82.74,clear sky,5.1033,73.0708,Soneva Fushi
52,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
53,Raymondville,US,87.1,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
60,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
62,San Patricio,US,87.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
64,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
65,Isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
67,Puerto Escondido,MX,87.17,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
69,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
72,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
77,Saint George,US,75.63,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Agadez,NE,87.39,clear sky,19.75,10.25,
80,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
91,Hilo,US,76.24,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
93,Puerto Leguizamo,CO,84.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
96,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
97,Sao Caetano De Odivelas,BR,79.7,heavy intensity rain,-0.75,-48.02,Hotel do Luttis
100,Richards Bay,ZA,75.47,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
102,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
104,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
106,San Jose,US,79.48,clear sky,37.3394,-121.895,The Westin San Jose
107,Villa Carlos Paz,AR,75.06,clear sky,-31.4241,-64.4978,Monte Carlo vcp
113,Araguari,BR,80.11,clear sky,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
118,Sao Joao Do Paraiso,BR,84.29,few clouds,-15.3136,-42.0144,Avenida Palace Hotel
119,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
122,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
129,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
131,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
149,Santa Catarina De Tepehuanes,MX,82.24,clear sky,25.35,-105.7333,hotel plaza
152,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
161,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
162,Bilma,NE,87.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
166,Muisne,EC,80.85,overcast clouds,0.6,-80.0333,Quinta Samay
170,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
174,Palm Valley,US,82.13,clear sky,30.1775,-81.3876,Sawgrass Marriott Golf Resort & Spa
183,Alofi,NU,80.31,overcast clouds,-19.0595,-169.9187,Taloa Heights
184,Jacksonville Beach,US,81.14,clear sky,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
187,Tautira,PF,81.81,light rain,-17.7333,-149.15,Pension Oaoa
190,Port Moresby,PG,75.25,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
192,Maragogi,BR,79.86,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
199,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
200,Kutum,SD,79.27,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
201,Assare,BR,84.07,overcast clouds,-6.8744,-39.875,José Xavier de Andrade
202,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
205,Poum,NC,81.99,moderate rain,-20.2333,164.0167,
209,Soyo,AO,78.93,scattered clouds,-6.1349,12.3689,Hotel Mpampa
210,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
211,Kroya,ID,75.87,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
215,Chabahar,IR,78.44,few clouds,25.2919,60.643,هتل گدروشیا
217,Manokwari,ID,78.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
218,Sur,OM,82.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
