City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,61.81,87,1,8.59,clear sky
1,Saint-Leu,RE,-21.15,55.2833,74.26,79,99,2.26,light rain
2,Cape Town,ZA,-33.9258,18.4232,64.9,81,0,13.8,clear sky
3,Grindavik,IS,63.8424,-22.4338,40.95,100,75,16.11,broken clouds
4,Gold Coast,AU,-28.0,153.4333,71.01,90,75,6.91,broken clouds
5,Yuli,NG,9.6989,10.2744,89.01,19,100,5.68,overcast clouds
6,Waipawa,NZ,-41.4122,175.5153,53.38,86,14,2.66,few clouds
7,Komsomolskiy,UZ,40.4272,71.7189,57.92,62,100,6.91,overcast clouds
8,Busselton,AU,-33.65,115.3333,62.58,81,51,16.98,broken clouds
9,Vaini,TO,-21.2,-175.2,73.56,100,100,5.75,light intensity shower rain
10,Keti Bandar,PK,24.1447,67.4497,78.19,68,29,9.86,scattered clouds
11,Atuona,PF,-9.8,-139.0333,79.95,72,83,21.14,broken clouds
12,Castro,BR,-24.7911,-50.0119,71.73,80,69,4.59,broken clouds
13,Barrow,US,71.2906,-156.7887,-11.07,97,55,14.05,broken clouds
14,Buchanan,LR,5.8808,-10.0467,79.5,85,86,8.43,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,38.86,81,40,31.07,light rain
16,Kapaa,US,22.0752,-159.319,78.78,76,81,10.0,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,2.28,broken clouds
18,Whitley Bay,GB,55.0397,-1.4471,44.82,77,20,19.57,light rain
19,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,23.02,light intensity shower rain
20,Tura,IN,25.5198,90.2201,69.84,94,11,6.31,few clouds
21,Labuhan,ID,-6.8844,112.2051,75.49,90,100,9.31,overcast clouds
22,Jacksonville,US,30.3322,-81.6556,81.1,40,0,12.66,clear sky
23,Hasaki,JP,35.7333,140.8333,48.29,75,98,21.16,light rain
24,Nikolskoye,RU,59.7035,30.7861,29.71,96,35,2.95,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,46.13,95,98,2.01,overcast clouds
26,Belomorsk,RU,64.5232,34.7668,19.17,96,100,5.19,overcast clouds
27,Bluff,NZ,-46.6,168.3333,56.23,75,98,12.28,overcast clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,12.66,scattered clouds
29,Upernavik,GL,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
30,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,3.44,light intensity shower rain
31,Cururupu,BR,-1.8283,-44.8683,81.16,77,75,5.39,broken clouds
32,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,75,11.5,broken clouds
33,Vologda,RU,59.2187,39.8886,16.77,92,17,6.51,few clouds
34,Mount Isa,AU,-20.7333,139.5,73.17,25,100,5.75,light rain
35,Ponferrada,ES,42.5466,-6.5962,40.46,51,39,5.32,scattered clouds
36,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,10.27,broken clouds
37,Sharan,RU,54.8167,54.0,39.76,95,100,9.42,overcast clouds
38,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.11,84,66,1.95,broken clouds
39,Papara,BR,-3.9839,-38.7273,81.68,91,48,3.85,scattered clouds
40,Pudozh,RU,61.8099,36.5345,8.91,97,86,2.04,overcast clouds
41,Kirakira,SB,-10.4544,161.9205,80.71,83,100,10.67,overcast clouds
42,Verkh-Usugli,RU,52.7,115.1667,12.15,75,64,3.04,broken clouds
43,Sorkjosen,NO,69.8,20.9333,15.8,73,36,2.3,scattered clouds
44,Valparaiso,CL,-33.0393,-71.6273,77.23,52,0,13.8,clear sky
45,Eydhafushi,MV,5.1033,73.0708,82.74,68,1,2.62,clear sky
46,Laurel,US,39.0993,-76.8483,57.02,48,100,14.97,overcast clouds
47,East London,ZA,-33.0153,27.9116,72.39,89,100,15.41,overcast clouds
48,New Norfolk,AU,-42.7826,147.0587,56.7,89,99,1.03,overcast clouds
49,Oyama,JP,36.3,139.8,47.59,85,100,6.69,light rain
50,Airai,TL,-8.9266,125.4092,56.95,77,20,1.16,few clouds
51,Raudeberg,NO,61.9875,5.1352,34.47,92,100,4.72,light snow
52,Georgetown,MY,5.4112,100.3354,78.73,93,20,2.3,few clouds
53,Raymondville,US,26.4815,-97.7831,87.1,44,0,14.79,clear sky
54,Hobart,AU,-42.8794,147.3294,57.06,94,100,6.91,overcast clouds
55,Kohlu,PK,29.8962,69.252,66.78,8,78,2.66,broken clouds
56,Thompson,CA,55.7435,-97.8558,37.56,48,100,11.5,overcast clouds
57,Kodiak,US,57.79,-152.4072,36.91,75,100,9.22,light snow
58,Ust-Ilimsk,RU,58.0006,102.6619,10.78,98,99,3.11,overcast clouds
59,Sioux Lookout,CA,50.1001,-91.917,37.47,60,100,3.44,overcast clouds
60,Sakakah,SA,29.9697,40.2064,78.37,11,6,8.41,clear sky
61,Pevek,RU,69.7008,170.3133,-19.73,96,24,2.28,few clouds
62,San Patricio,US,28.017,-97.5169,87.17,43,0,14.03,clear sky
63,Qaanaaq,GL,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
64,Hithadhoo,MV,-0.6,73.0833,83.03,69,53,4.81,broken clouds
65,Isangel,VU,-19.55,169.2667,80.24,84,100,8.39,overcast clouds
66,Saint-Philippe,RE,-21.3585,55.7679,74.79,91,100,13.73,heavy intensity rain
67,Puerto Escondido,MX,15.85,-97.0667,87.17,48,4,8.77,clear sky
68,Sosnogorsk,RU,63.6023,53.8817,23.22,94,100,10.31,light snow
69,San Cristobal,VE,7.7669,-72.225,82.58,49,43,6.51,scattered clouds
70,Kemijarvi,FI,66.7131,27.4306,15.31,97,85,2.04,overcast clouds
71,Albany,US,42.6001,-73.9662,41.63,86,100,0.94,moderate rain
72,Vao,NC,-22.6667,167.4833,79.11,87,88,19.28,overcast clouds
73,Prince Rupert,CA,54.3161,-130.3201,42.89,70,75,26.46,broken clouds
74,Severo-Kurilsk,RU,50.6789,156.125,30.2,87,23,11.59,few clouds
75,Cherskiy,RU,68.75,161.3,-2.67,98,100,3.6,overcast clouds
76,Lebu,CL,-37.6167,-73.65,56.89,63,0,18.63,clear sky
77,Saint George,US,37.1041,-113.5841,75.63,21,100,1.99,overcast clouds
78,Khatanga,RU,71.9667,102.5,-29.15,100,99,4.09,overcast clouds
79,Agadez,NE,19.75,10.25,87.39,5,0,6.15,clear sky
80,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,12.66,scattered clouds
81,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,13.8,few clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,45,11.61,light rain
83,Tiksi,RU,71.6872,128.8694,4.77,98,100,8.01,overcast clouds
84,Geraldton,AU,-28.7667,114.6,72.01,88,75,16.11,broken clouds
85,Le Mans,FR,48.0,0.2,42.73,65,0,6.91,clear sky
86,Esperance,AU,-33.8667,121.9,62.44,92,100,7.54,light rain
87,Mae Sai,TH,20.4335,99.8762,66.63,66,11,1.66,few clouds
88,Provideniya,RU,64.3833,-173.3,2.8,74,0,11.5,clear sky
89,Avarua,CK,-21.2078,-159.775,78.85,89,100,3.44,overcast clouds
90,Wucheng,CN,29.6008,118.175,48.99,80,85,2.95,overcast clouds
91,Hilo,US,19.7297,-155.09,76.24,94,32,4.0,moderate rain
92,Chapais,CA,49.7834,-74.8492,38.98,85,100,5.99,overcast clouds
93,Puerto Leguizamo,CO,-0.1934,-74.7819,84.78,63,99,2.57,overcast clouds
94,Kotelnich,RU,58.3089,48.348,28.02,94,99,8.77,overcast clouds
95,Ostrovnoy,RU,68.0531,39.5131,15.84,92,100,6.58,overcast clouds
96,Jalu,LY,29.0331,21.5482,78.8,13,9,11.14,clear sky
97,Sao Caetano De Odivelas,BR,-0.75,-48.02,79.7,87,100,7.92,heavy intensity rain
98,Rawson,AR,-43.3002,-65.1023,62.29,26,13,15.77,few clouds
99,Belyy Yar,RU,53.6039,91.3903,35.85,93,40,8.95,light rain
100,Richards Bay,ZA,-28.783,32.0377,75.47,84,97,10.76,overcast clouds
101,Waspan,NI,14.7419,-83.9717,90.54,44,59,6.53,broken clouds
102,Sola,VU,-13.8833,167.55,79.29,72,100,9.6,overcast clouds
103,Saint Anthony,US,45.0205,-93.218,43.25,70,100,8.05,light snow
104,Bandarbeyla,SO,9.4942,50.8122,79.29,75,94,4.45,overcast clouds
105,Codrington,AU,-38.2667,141.9667,58.39,85,100,5.39,overcast clouds
106,San Jose,US,37.3394,-121.895,79.48,36,0,10.36,clear sky
107,Villa Carlos Paz,AR,-31.4241,-64.4978,75.06,26,0,8.01,clear sky
108,Bordighera,IT,43.7806,7.6645,48.09,71,14,7.31,light rain
109,Ambulu,ID,-8.345,113.6058,74.32,92,6,3.33,clear sky
110,Tieli,CN,46.95,128.05,45.55,46,2,14.79,clear sky
111,Surt,LY,31.2089,16.5887,62.82,77,0,15.79,clear sky
112,Vila,PT,42.0304,-8.1588,40.08,73,22,5.1,few clouds
