City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikolskoye,59.7035,30.7861,28.29,97,59,2.86,RU,2022-04-02 00:46:57
1,Provideniya,64.3833,-173.3,27.97,79,100,11.05,RU,2022-04-02 00:43:35
2,Prince Rupert,54.3161,-130.3201,42.89,81,100,5.75,CA,2022-04-02 00:46:58
3,Punta Arenas,-53.15,-70.9167,39.31,81,0,5.75,CL,2022-04-02 00:46:58
4,New Norfolk,-42.7826,147.0587,58.91,60,100,4.0,AU,2022-04-02 00:43:50
5,Mabaruma,8.2,-59.7833,70.93,88,100,3.6,GY,2022-04-02 00:46:59
6,Mataura,-46.1927,168.8643,62.29,54,6,6.78,NZ,2022-04-02 00:46:59
7,Port Alfred,-33.5906,26.891,62.19,97,100,8.14,ZA,2022-04-02 00:43:38
8,Shillong,25.5689,91.8831,61.14,84,7,2.37,IN,2022-04-02 00:47:00
9,Butaritari,3.0707,172.7902,82.26,72,12,21.59,KI,2022-04-02 00:47:00
10,Barrow,71.2906,-156.7887,-2.18,65,0,18.41,US,2022-04-02 00:47:01
11,Bengkulu,-3.8004,102.2655,79.72,73,19,2.57,ID,2022-04-02 00:47:01
12,Puerto Ayora,-0.7393,-90.3518,78.55,96,26,1.01,EC,2022-04-02 00:47:01
13,Cidreira,-30.1811,-50.2056,63.03,68,8,4.43,BR,2022-04-02 00:47:02
14,Busselton,-33.65,115.3333,76.53,60,59,9.46,AU,2022-04-02 00:47:02
15,Pevek,69.7008,170.3133,-5.91,87,100,1.21,RU,2022-04-02 00:45:19
16,Nalut,30.3333,10.85,61.18,24,93,8.72,LY,2022-04-02 00:47:03
17,Nouadhibou,20.931,-17.0347,64.38,77,0,14.97,MR,2022-04-02 00:47:04
18,Olds,51.7834,-114.102,45.84,31,100,12.66,CA,2022-04-02 00:45:22
19,Bolshaya Martynovka,47.271,41.6679,58.33,56,100,7.27,RU,2022-04-02 00:47:04
20,Yellowknife,62.456,-114.3525,1.29,50,20,0.0,CA,2022-04-02 00:47:05
21,Salalah,17.0151,54.0924,75.29,41,0,5.75,OM,2022-04-02 00:47:05
22,Xining,36.6167,101.7667,35.24,55,0,3.31,CN,2022-04-02 00:47:06
23,Los Llanos De Aridane,28.6585,-17.9182,59.13,83,100,8.05,ES,2022-04-02 00:47:06
24,Iqaluit,63.7506,-68.5145,24.53,100,100,2.3,CA,2022-04-02 00:47:06
25,Kodiak,57.79,-152.4072,38.71,87,100,12.66,US,2022-04-02 00:47:07
26,Camargo,27.6667,-105.1667,80.24,5,48,5.57,MX,2022-04-02 00:47:08
27,Xai-Xai,-25.0519,33.6442,72.05,79,0,6.8,MZ,2022-04-02 00:47:08
28,Upernavik,72.7868,-56.1549,7.07,98,100,9.42,GL,2022-04-02 00:47:08
29,Wang Saphung,17.301,101.7685,71.62,78,75,2.3,TH,2022-04-02 00:47:09
30,Caravelas,-17.7125,-39.2481,76.73,82,0,5.17,BR,2022-04-02 00:47:09
